Enzyme	gappedrestrict/NC_002080new.restrict	gappedrestrict/NC_011125new.restrict	Common
SgeI	288	494	558
AjuI	2	4	0
NspBII*	2	1	1
XmaIII*	1	0	1
BtgZI	0	4	0
Eco57I	4	3	4
Bce83I*	6	2	6
SplI*	2	0	0
PmeI	1	1	0
Cac8I	8	6	6
Ecl136II	0	0	2
NmeAIII	2	0	2
BfiI	3	4	2
BseSI	1	3	2
EcoRI	1	4	0
KasI	1	1	0
BstAPI	0	1	1
PacI	4	1	1
PluTI	1	1	0
EciI	4	3	0
BsmI	5	6	2
BcgI	2	1	0
HaeII	2	3	1
BtrI	0	0	1
ClaI	2	1	1
StyI	4	14	4
BbvCI	0	4	0
BsiYI*	8	11	20
AccI	4	10	4
SacI	2	0	0
BplI	2	4	0
BseYI	2	0	1
Eco31I	1	4	0
PfoI	0	1	0
HindII	5	8	5
CfrI	6	5	3
Bsp1407I	1	1	2
SduI	5	13	5
SphI	3	0	0
BalI	2	1	1
XcmI	2	2	0
NruI	1	0	0
GsaI	3	1	0
EcoRV	3	3	0
Cfr10I	1	1	0
SauI*	1	2	1
MmeI	3	7	3
PflMI	3	2	0
XmnI	6	4	0
BspLU11I*	1	3	0
SpeI	3	9	0
BspMI	5	6	2
MluI	1	0	0
BmtI	1	1	1
MfeI	4	1	1
ScaI	2	6	0
Ksp632I*	5	10	3
OliI	1	2	0
PsrI	1	0	0
BseRI	3	12	3
BsaAI	5	3	4
GsuI	0	1	3
EcoP15I	1	3	3
BetI*	3	0	1
Bpu10I	2	8	1
BglII	4	3	0
MwoI	10	17	16
SfeI*	14	9	5
BbvII*	4	3	3
AvrII	2	7	1
BsaBI	8	2	0
HgiJII*	4	8	5
Acc65I	1	2	0
SfiI	0	1	0
BclI	5	6	0
NheI	2	2	0
Eam1105I	1	0	0
Hpy166II	20	27	12
SnaBI	2	3	0
McrI*	1	1	1
SspI	25	9	5
Hpy178III*	26	29	10
TspRI	11	12	7
BsrBI	1	0	0
AflIII	6	5	1
BarI	0	5	2
BsiI*	0	1	2
EcoT22I	4	4	0
StuI	3	6	3
NspI	9	7	1
KpnI	1	2	0
SwaI	3	0	0
EspI*	0	1	1
AvaI	1	2	2
BsgI	4	2	1
SapI	1	1	0
AflII	2	2	0
AlwNI	2	3	0
DsaI*	0	6	4
ApaI	1	0	2
SalI	0	1	0
AloI	2	2	0
ApoI	40	17	8
VspI	38	21	2
Tth111I	1	2	0
HgiCI*	4	3	1
Cfr9I	1	1	0
XhoII	8	8	2
BciVI	4	4	1
PstI	1	0	1
SacII	0	1	1
Esp3I	0	4	0
DrdI	1	0	1
PpuMI	0	1	0
PvuII	2	1	0
ApaLI	0	1	0
BstXI	1	0	1
EcoNI	2	3	2
PcsI	1	2	0
BsrDI	2	1	1
AarI	1	1	1
PshAI	0	1	0
NlaIV	11	16	8
MslI	7	8	5
AhaIII*	12	6	3
BsaXI	2	7	1
PsiI	28	7	1
AgeI	1	0	0
BaeI	0	5	0
AcyI	1	3	1
ZraI	0	2	0
DinI	1	0	0
XhoI	1	0	0
SecI*	10	20	10
BspHI	3	5	0
MstI*	1	0	0
TatI	9	11	3
PmaCI	1	0	1
XbaI	1	2	0
BtsI	3	1	2
BamHI	1	4	2
NarI	1	1	0
BssNAI	3	6	2
BglI	0	2	0
SmlI	11	5	4
BstEII	3	3	2
TaqII	1	1	0
FalI	7	8	3
Eco47III	1	0	0
SmaI	1	1	0
Bsp120I	1	1	2
DraII	2	3	3
HindIII	6	3	0
AatII	0	2	0
NcoI	0	2	1
HpaI	3	2	3
NdeI	6	4	0
PspXI	1	0	0
HgiAI*	1	3	2
AsuII	2	0	1
ArsI	1	1	0
